Object ID;Parent ID;Title;Creator;Date;Description;Subject;Location;Source;Identifier;Type;Format;Language;Rights;Rights Statement;Display Template;Object Location;Image Small;Image Thumb;Image Alt Text;Link;Chinese Title;Chinese Artist Name
12;;Mao Chinese Vermilion #6;Yan Peiming;2001;Three I. 29 1/8 x 29 1/8 in. (74 x 74 cm);Icons;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/yan-pei-ming-icons-5;毛中国朱红#6;严培明
11;;Tiananmen;Zeng Fanzhi;2004;Oil on canvas;;;China;;;;Image;Image;Chinese;;;https://www.artnet.com/artists/zeng-fanzhi/tiananmen-F-oMI8x_34isdlzPq5iA-g2;天安门;曾梵志
10;;Rouge Series- Mao;Li Shan;2005;Oil and collage on canvas;;;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/li-shan-li-shan-b-1942-rouge-series-mao-2;Rouge Series- 毛;李山
9;;Sailing in the Great Sea Depends on the Helmsman;Huang Yan;2006;Sculpture, Porcelain;;;China;;;;Image;Image;Chinese;;;https://www.conceptioart.com/artists/huangyan.html;大海航行靠舵手;黄岩
8;;Welcome to the World’s Most Famous Brand;Luo Brothers;2006;Lacquer and paint on carved wood;;;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/luo-brothers-welcome-to-the-worlds-most-famous-brand-relied-fish-and-7-up;欢迎来到世界上最有名的品牌;罗伟国 and 罗伟冰
7;;Untitled (Woman with Roses);Xue Song;2007;Collage and acrylic on canvas;;;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/xue-song-xie-song-untitled-woman-with-roses;无题（女人与玫瑰）;薛松
6;;Untitled (Mao);Xue Song;2007;Collage and acrylic on canvas;;;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/xue-song-xie-song-untitled-mao;无题（毛）;薛松
5;;Mao, Spring Landscape;Huang Yan;2008;Painting, Oil on canvas;;;China;;;;Image;Image;Chinese;;;https://www.mutualart.com/Artwork/Mao--Spring-Landscape/FFC3228ECBB05042;毛（春景）;黄岩
4;;Mao;Ren Zhenyu;2008;Oil on Canvas;;;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/ren-zhenyu-mao-1;毛;任震宇
3;;MAO vs MARILYN;Alex Guofeng Cao;2009;Chromogenic Print in Dibond Plexiglass;;;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/alex-guofeng-cao-mao-vs-marilyn;毛泽东和玛丽莲梦露;Alex 郭峰曹
2;;Red Flower Face of Mao;Zhang Wanxing;2011;High-fired clay with glaze;;;China;;;;Image;Image;Chinese;;;https://cclarkgallery.com/artists/series/wanxin-zhang/early-works#slide6;毛的红花脸;张万新
1;;Head Portrait;Liu Bolin;2012;Archival Pigment Print;;;China;;;;Image;Image;Chinese;;;https://www.artsy.net/artwork/liu-bolin-head-portrait-2;头像;刘勃麟
